date,site,trt,count,mean.burrow.diameter,mean.temp
10/19/22,4,Compact,3,24.04333333,11.9493
10/19/22,4,Rake,0,NA,11.9493
10/19/22,4,Marine.Debris,3,24.57333333,11.9493
10/19/22,5,Control,1,9.74,11.9493
10/19/22,5,Compact,0,NA,11.9493
10/19/22,5,Rake,1,25.85,11.9493
10/19/22,5,Marine.Debris,1,14.1,11.9493
10/19/22,6,Control,1,31.43,11.9493
10/19/22,6,Compact,1,23.6,11.9493
10/19/22,6,Rake,2,13.715,11.9493
10/19/22,6,Marine.Debris,4,21.3875,11.9493
10/19/22,7,Control,2,25.34,11.9493
10/19/22,7,Compact,1,28.47,11.9493
10/19/22,7,Rake,3,23.86,11.9493
10/19/22,7,Marine.Debris,4,37.345,11.9493
10/19/22,8,Control,2,37.41,11.9493
10/19/22,8,Compact,0,NA,11.9493
10/19/22,8,Rake,1,9.23,11.9493
10/19/22,8,Marine.Debris,2,12.225,11.9493
10/19/22,9,Control,0,NA,11.9493
10/19/22,9,Compact,0,NA,11.9493
10/19/22,9,Rake,4,26.0575,11.9493
10/19/22,9,Marine.Debris,5,31.126,11.9493
10/19/22,10,Control,2,12.475,11.9493
10/19/22,10,Compact,0,NA,11.9493
10/19/22,10,Rake,0,NA,11.9493
10/19/22,10,Marine.Debris,2,33.47,11.9493
10/20/22,1,Control,1,30.27,12.2442
10/20/22,1,Compact,2,13.505,12.2442
10/20/22,1,Rake,0,NA,12.2442
10/20/22,1,Marine.Debris,0,NA,12.2442
10/20/22,2,Control,3,15.19333333,12.2442
10/20/22,2,Compact,0,NA,12.2442
10/20/22,2,Rake,2,12.97,12.2442
10/20/22,2,Marine.Debris,1,12.55,12.2442
10/20/22,3,Control,2,35.545,12.2442
10/20/22,3,Compact,1,16.09,12.2442
10/20/22,3,Rake,0,NA,12.2442
10/20/22,3,Marine.Debris,4,24.9325,12.2442
10/20/22,4,Control,2,8.945,12.2442
10/20/22,4,Compact,1,12.28,12.2442
10/20/22,4,Rake,0,NA,12.2442
10/20/22,4,Marine.Debris,2,30.455,12.2442
10/20/22,5,Control,0,NA,12.2442
10/20/22,5,Compact,0,NA,12.2442
10/20/22,5,Rake,1,21.02,12.2442
10/20/22,5,Marine.Debris,1,11.17,12.2442
10/20/22,6,Control,3,16.76666667,12.2442
10/20/22,6,Compact,1,31,12.2442
10/20/22,6,Rake,3,10.01,12.2442
10/20/22,6,Marine.Debris,3,21.63666667,12.2442
10/20/22,7,Control,4,17.205,12.2442
10/20/22,7,Compact,1,26.23,12.2442
10/20/22,7,Rake,0,NA,12.2442
10/20/22,7,Marine.Debris,2,32.04,12.2442
10/20/22,8,Control,2,32.665,12.2442
10/20/22,8,Compact,2,19.305,12.2442
10/20/22,8,Rake,0,NA,12.2442
10/20/22,8,Marine.Debris,3,10.14666667,12.2442
10/20/22,9,Control,4,19.755,12.2442
10/20/22,9,Compact,1,23.02,12.2442
10/20/22,9,Rake,5,39.106,12.2442
10/20/22,9,Marine.Debris,6,16.75666667,12.2442
10/20/22,10,Control,1,46.07,12.2442
10/20/22,10,Compact,0,NA,12.2442
10/20/22,10,Rake,1,20.29,12.2442
10/20/22,10,Marine.Debris,2,16.46,12.2442
10/21/22,1,Control,2,17.62,13.1783
10/21/22,1,Compact,2,16.025,13.1783
10/21/22,1,Rake,1,29.75,13.1783
10/21/22,1,Marine.Debris,3,15.53666667,13.1783
10/21/22,2,Control,6,15.58,13.1783
10/21/22,2,Compact,2,5.63,13.1783
10/21/22,2,Rake,1,23.39,13.1783
10/21/22,2,Marine.Debris,2,20.1,13.1783
10/21/22,3,Control,4,27.34,13.1783
10/21/22,3,Compact,2,13.49,13.1783
10/21/22,3,Rake,1,54.6,13.1783
10/21/22,3,Marine.Debris,6,26.03666667,13.1783
10/21/22,4,Control,1,20.95,13.1783
10/21/22,4,Compact,2,9.46,13.1783
10/21/22,4,Rake,2,12.485,13.1783
10/21/22,4,Marine.Debris,4,16.935,13.1783
10/21/22,5,Control,3,9.796666667,13.1783
10/21/22,5,Compact,1,49.41,13.1783
10/21/22,5,Rake,0,NA,13.1783
10/21/22,5,Marine.Debris,0,NA,13.1783
10/21/22,6,Control,5,17.272,13.1783
10/21/22,6,Compact,1,18.48,13.1783
10/21/22,6,Rake,4,20.385,13.1783
10/21/22,6,Marine.Debris,4,17.93,13.1783
10/21/22,7,Control,3,23.34666667,13.1783
10/21/22,7,Compact,0,NA,13.1783
10/21/22,7,Rake,4,14.9525,13.1783
10/21/22,7,Marine.Debris,4,22.21,13.1783
10/21/22,8,Control,2,34.485,13.1783
10/21/22,8,Compact,3,19.03666667,13.1783
10/21/22,8,Rake,1,10.37,13.1783
10/21/22,8,Marine.Debris,0,NA,13.1783
10/21/22,9,Control,2,18.94,13.1783
10/21/22,9,Compact,1,22.43,13.1783
10/21/22,9,Rake,3,32.43666667,13.1783
10/21/22,9,Marine.Debris,4,10.84,13.1783
10/21/22,10,Control,1,10.14,13.1783
10/21/22,10,Compact,1,29.89,13.1783
10/21/22,10,Rake,0,NA,13.1783
10/21/22,10,Marine.Debris,5,23.186,13.1783
