"b1","tree","RF.cat","P","depth","RF","path.dif"
0,25,100,0.81637016744069,0,0,0
0,26,0,0.757757938728126,0,0,0
0,26,1,0.810182477824481,0.166666666666667,1,0
0,26,2,0.822038179416377,0.25,2,0
0,26,4,0.579995719410077,0.333333333333333,4,0
0,26,7,0.531739739644564,0.333333333333333,7,0
0,26,15,0.99452112266112,0.666666666666667,24,0
0,26,100,0.479055279335779,0,0,0
0,27,0,0.247310040426187,0,0,0
0,27,1,0.315077958965875,0.166666666666667,1,0
0,27,2,0.231575841263708,0.333333333333333,3,0
0,27,4,0.604573249945265,0.333333333333333,4,0
0,27,7,0.237201707141782,0.416666666666667,8,0
0,27,15,0.389169251144545,0.75,42,0
0,27,100,0.474039599602136,0,0,0
0,28,0,0.797007107542084,0,0,0
0,28,1,0.768207843629103,0.125,1,0
0,28,2,0.911639576837605,0.25,3,0
0,28,4,0.937783339486402,0.3125,6,0
0,28,7,0.662007113820684,0.5,10,0
0,28,15,0.765447436236944,0.9375,75,0
0,28,100,0.235893885102218,0,0,0
0,29,0,0.348919566497587,0,0,0
0,29,1,0.293003690977767,0.214285714285714,1,0
0,29,2,0.380139090091756,0.214285714285714,2,0
0,29,4,0.466044766308032,0.285714285714286,4,0
0,29,7,0.340118192000358,0.571428571428571,13,0
0,29,15,0.71508833658979,0.714285714285714,22,0
0,29,100,0.600010528692003,0,0,0
0,30,0,0.496795646387596,0,0,0
0,30,1,0.578721181646956,0.272727272727273,1,0
0,30,2,0.588779669081028,0.272727272727273,2,0
0,30,4,0.593900446998923,0.363636363636364,5,0
0,30,7,0.687226120195596,0.636363636363636,12,0
0,30,15,0.731032662583303,0.909090909090909,52,0
0,30,100,0.909777981632152,0,0,0
0,31,0,0.171643453289931,0,0,0
0,31,1,0.171457414326026,0.125,1,0
0,31,2,0.185803918657625,0.1875,2,0
0,31,4,0.158782134920669,0.3125,4,0
0,31,7,0.659449673004618,0.625,14,0
0,31,15,0.113462692991682,1,88,0
0,31,100,0.0867272985020384,0,0,0
0,32,0,0.836950016711338,0,0,0
0,32,1,0.816552228249322,0.153846153846154,1,0
0,32,2,0.859129499738413,0.230769230769231,2,0
0,32,4,0.618388230938196,0.307692307692308,5,0
0,32,7,0.37411467151764,0.461538461538462,10,0
0,32,15,0.718256303654914,0.692307692307692,20,0
0,32,100,0.41165595806856,0,0,0
0,33,0,0.717013542288749,0,0,0
0,33,1,0.751117686480499,0.153846153846154,1,0
0,33,2,0.852866497537297,0.230769230769231,2,0
0,33,4,0.566743075802264,0.307692307692308,4,0
0,33,7,0.781562886748317,0.538461538461538,12,0
0,33,15,0.81586780979206,0.769230769230769,31,0
0,33,100,0.900876239607338,0,0,0
0,34,0,0.241304227990822,0,0,0
0,34,1,0.226479997963832,0.125,1,0
0,34,2,0.489192771773211,0.25,3,0
0,34,4,0.227353473261932,0.25,5,0
0,34,7,0.131713633366883,0.4375,11,0
0,34,15,0.154893980754999,0.5625,18,0
0,34,100,0.856372166508951,0,0,0
0,35,0,0.607228517872626,0,0,0
0,35,1,0.624125731419085,0.166666666666667,1,0
0,35,2,0.317576167041639,0.25,2,0
0,35,4,0.968741834450387,0.416666666666667,6,0
0,35,7,0.690785645343107,0.416666666666667,8,0
0,35,15,0.680949392626615,0.75,23,0
0,35,100,0.6218304220494,0,0,0
0,36,0,0.547963826059311,0,0,0
0,36,1,0.595494077703986,0.142857142857143,1,0
0,36,2,0.648302975070568,0.214285714285714,2,0
0,36,4,0.325354280946954,0.357142857142857,6,0
0,36,7,0.367286690503271,0.428571428571429,8,0
0,36,15,0.882167861793869,0.571428571428571,18,0
0,36,100,0.0922535179082538,0,0,0
0,37,0,0.882372150184245,0,0,0
0,37,1,0.755411741091145,0.166666666666667,1,0
0,37,2,0.764589457031677,0.25,2,0
0,37,4,0.922979485712078,0.416666666666667,5,0
0,37,7,0.68385558169315,0.5,10,0
0,37,15,0.940867659671499,0.833333333333333,34,0
0,37,100,0.770444942909234,0,0,0
0,38,0,0.0123929741755385,0,0,0
0,38,1,0.0139822663277311,0.181818181818182,1,0
0,38,2,0.0114560948707687,0.272727272727273,2,0
0,38,4,0.00186878987153654,0.272727272727273,4,0
0,38,7,0.0211570062524991,0.454545454545455,9,0
0,38,15,0.0114485654982596,1,80,0
0,38,100,0.0429597529547272,0,0,0
0,39,0,0.275103722394078,0,0,0
0,39,1,0.273944610106553,0.166666666666667,1,0
0,39,2,0.226906288013055,0.333333333333333,3,0
0,39,4,0.337451761225691,0.25,4,0
0,39,7,0.69412509668915,0.5,10,0
0,39,15,0.385947115725718,0.666666666666667,15,0
0,39,100,0.701453236952178,0,0,0
0,40,0,0.663577632457375,0,0,0
0,40,1,0.65839527119001,0.142857142857143,1,0
0,40,2,0.688144080245678,0.214285714285714,2,0
0,40,4,0.836745906341738,0.285714285714286,4,0
0,40,7,0.895583792424844,0.428571428571429,9,0
0,40,15,0.231976185172619,0.5,18,0
0,40,100,0.940915185795244,0,0,0
0,41,0,0.572804650662732,0,0,0
0,41,1,0.481187301970576,0.153846153846154,1,0
