ROUTE,STATION,LAT,LONG,WIND,GROUSE
26,1,574443,5115226,2.792848009,0
26,2,573648,5115224,3.1144823,0
26,3,573114,5115583,2.683281573,0
26,4,573086,5116332,3.435112807,0
26,5,573381,5116978,1.449137675,0
26,6,574022,5117301,1.732050808,1
27,1,577893,5123259,1.788854382,0
27,2,577207,5123041,0,0
27,3,576881,5122454,1.673320053,0
27,4,576431,5122164,1.788854382,0
27,5,576100,5121663,2.302172887,0
27,6,575664,5121278,2.408318916,0
27,7,575323,5120646,1.516575089,0
27,8,574869,5120136,1.378404875,0
28,1,585188,5126646,1.414213562,0
28,2,584388,5126631,1.483239697,0
28,3,583650,5126614,1.378404875,0
28,4,582792,5126601,2.810693865,0
28,5,583139,5126213,2.828427125,0
28,6,583646,5125696,3.376388603,0
28,7,584133,5125230,2.774887385,0
28,8,584816,5125405,2.549509757,0
29,1,579412,5123288,2.302172887,0
29,2,580022,5122830,2.50998008,1
29,4,581248,5122391,2.258317958,0
29,5,581147,5121730,1.58113883,0
30,2,575146,5118257,1.816590212,0
30,3,575617,5118829,0,0
30,4,576019,5119493,0,0
30,5,576736,5119774,1.516575089,0
30,6,577487,5119904,1.483239697,0
30,7,578165,5119990,0,0
30,8,578767,5120449,0,0
31,1,574278,5107190,1.378404875,0
31,2,573518,5107189,2,1
31,3,573438,5106526,2.549509757,0
31,4,573394,5105724,3.405877273,0
31,5,573989,5105583,1.303840481,0
31,6,574815,5105593,2.42899156,0
31,7,575073,5106175,1.58113883,0
31,8,575617,5105557,2.097617696,1
32,1,586272,5080493,2.19089023,0
32,2,586173,5081285,2.469817807,0
32,3,586103,5082080,1.643167673,0
32,4,586156,5082862,2.449489743,0
32,5,586382,5083481,1.378404875,0
32,6,587182,5083481,2.607680962,0
32,7,587975,5083508,1.483239697,0
32,8,588599,5083354,2.387467277,0
33,1,572024,5081092,1.516575089,0
33,2,571892,5081657,2.366431913,0
33,3,572615,5081891,3.449637662,0
33,4,573068,5081570,1.870828693,1
33,6,572720,5080267,2.34520788,0
33,7,572330,5079800,1.788854382,0
33,8,572032,5079119,3.098386677,0
34,1,583377,5089586,2.144761059,1
34,2,582741,5089920,1.788854382,1
34,3,582423,5089278,1.516575089,1
34,4,582593,5088594,1.341640786,0
34,5,583035,5088217,1.949358869,0
